User's manual r01uh0896ej0130-rl78g23; Version 1.00; February 20, 2024
RegisterName,RegisterBookmark,RegisterTableCaption,NumberOfAppearance,ModuleInformation,SearchKey
PU14,4.3.3 Pull-up resistor option registers (PUxx),Figure4-3FormatofPull-upResistorOptionRegisters(PUxx),,,
PIM0,4.3.4 Port input mode registers (PIMxx),Figure4-4FormatofPortInputModeRegisters(PIMxx),,,
PIM1,4.3.4 Port input mode registers (PIMxx),Figure4-4FormatofPortInputModeRegisters(PIMxx),,,
PIM3,4.3.4 Port input mode registers (PIMxx),Figure4-4FormatofPortInputModeRegisters(PIMxx),,,
PIM4,4.3.4 Port input mode registers (PIMxx),Figure4-4FormatofPortInputModeRegisters(PIMxx),,,
PIM5,4.3.4 Port input mode registers (PIMxx),Figure4-4FormatofPortInputModeRegisters(PIMxx),,,
PIM7,4.3.4 Port input mode registers (PIMxx),Figure4-4FormatofPortInputModeRegisters(PIMxx),,,
PIM8,4.3.4 Port input mode registers (PIMxx),Figure4-4FormatofPortInputModeRegisters(PIMxx),,,
PIM14,4.3.4 Port input mode registers (PIMxx),Figure4-4FormatofPortInputModeRegisters(PIMxx),,,
POM0,4.3.5 Port output mode registers (POMxx),Figure4-5FormatofPortOutputModeRegisters(POMxx),,,
POM1,4.3.5 Port output mode registers (POMxx),Figure4-5FormatofPortOutputModeRegisters(POMxx),,,
POM3,4.3.5 Port output mode registers (POMxx),Figure4-5FormatofPortOutputModeRegisters(POMxx),,,
POM4,4.3.5 Port output mode registers (POMxx),Figure4-5FormatofPortOutputModeRegisters(POMxx),,,
POM5,4.3.5 Port output mode registers (POMxx),Figure4-5FormatofPortOutputModeRegisters(POMxx),,,
POM7,4.3.5 Port output mode registers (POMxx),Figure4-5FormatofPortOutputModeRegisters(POMxx),,,
POM8,4.3.5 Port output mode registers (POMxx),Figure4-5FormatofPortOutputModeRegisters(POMxx),,,
POM9,4.3.5 Port output mode registers (POMxx),Figure4-5FormatofPortOutputModeRegisters(POMxx),,,
POM12,4.3.5 Port output mode registers (POMxx),Figure4-5FormatofPortOutputModeRegisters(POMxx),,,
POM14,4.3.5 Port output mode registers (POMxx),Figure4-5FormatofPortOutputModeRegisters(POMxx),,,
PMCA0,4.3.7 Port mode control A registers (PMCAxx),Figure4-7FormatofPortModeControlARegisters(PMCAxx),,,
PMCA1,4.3.7 Port mode control A registers (PMCAxx),Figure4-7FormatofPortModeControlARegisters(PMCAxx),,,
PMCA2,4.3.7 Port mode control A registers (PMCAxx),Figure4-7FormatofPortModeControlARegisters(PMCAxx),,,
PMCA3,4.3.7 Port mode control A registers (PMCAxx),Figure4-7FormatofPortModeControlARegisters(PMCAxx),,,
PMCA10,4.3.7 Port mode control A registers (PMCAxx),Figure4-7FormatofPortModeControlARegisters(PMCAxx),,,
PMCA11,4.3.7 Port mode control A registers (PMCAxx),Figure4-7FormatofPortModeControlARegisters(PMCAxx),,,
PMCA12,4.3.7 Port mode control A registers (PMCAxx),Figure4-7FormatofPortModeControlARegisters(PMCAxx),,,
PMCA14,4.3.7 Port mode control A registers (PMCAxx),Figure4-7FormatofPortModeControlARegisters(PMCAxx),,,
PMCA15,4.3.7 Port mode control A registers (PMCAxx),Figure4-7FormatofPortModeControlARegisters(PMCAxx),,,
NFEN0,15.3.17 Noise filter enable register 0 (NFEN0),Figure15-22FormatofNoiseFilterEnableRegister0(NFEN0),,,
NFEN1,"7.3.16 Noise filter enable registers 1, 2 (NFEN1, NFEN2)","Figure7-26FormatofNoiseFilterEnableRegisters1,2(NFEN1,NFEN2)(1/2)",,,
NFEN2,"7.3.16 Noise filter enable registers 1, 2 (NFEN1, NFEN2)","Figure7-26FormatofNoiseFilterEnableRegisters1,2(NFEN1,NFEN2)(1/2)",,,
ISC,7.3.15 Input switch control register (ISC),Figure7-25FormatofInputSwitchControlRegister(ISC),,Timer Array Unit (TAU),
ISC,15.3.16 Input switch control register (ISC),Figure15-21FormatofInputSwitchControlRegister(ISC),,Serial Array Unit (SAU),
TIS0,7.3.9 Timer input select register 0 (TIS0),Figure7-19FormatofTimerInputSelectRegister0(TIS0),,Timer Array Unit (TAU),
TIS0,27.3.9 Frequency detection,Figure27-18FormatofTimerInputSelectRegister0(TIS0),,Safety Functions,
TIS1,7.3.10 Timer input select register 1 (TIS1),Figure7-20FormatofTimerInputSelectRegister1(TIS1),,,
PIOR,4.3.10 Peripheral I/O redirection register (PIOR),Figure4-10FormatofPeripheralI/ORedirectionRegister(PIOR)(1/2),,,
IAWCTL,27.3.5 RAM guard function,Figure27-12FormatofInvalidMemoryAccessDetectionControlRegister(IAWCTL),,RAM guard function,
IAWCTL,27.3.6 SFR guard function,Figure27-13FormatofInvalidMemoryAccessDetectionControlRegister(IAWCTL),,SFR guard function,
IAWCTL,27.3.7 Illicit memory access detection,Figure27-15FormatofInvalidMemoryAccessDetectionControlRegister(IAWCTL),,Illicit memory access detection,
ULBS,15.3.19 UART loopback select register (ULBS),Figure15-23FormatofUARTLoopbackSelectRegister(ULBS),,Serial Array Unit (SAU),
ULBS0,15.3.19 UART loopback select register (ULBS),Figure15-23FormatofUARTLoopbackSelectRegister(ULBS),1,Serial Array Unit (SAU),ULBSn
ULBS1,15.3.19 UART loopback select register (ULBS),Figure15-23FormatofUARTLoopbackSelectRegister(ULBS),1,Serial Array Unit (SAU),ULBSn
ULBS2,15.3.19 UART loopback select register (ULBS),Figure15-23FormatofUARTLoopbackSelectRegister(ULBS),1,Serial Array Unit (SAU),ULBSn
ULBS3,15.3.19 UART loopback select register (ULBS),Figure15-23FormatofUARTLoopbackSelectRegister(ULBS),1,Serial Array Unit (SAU),ULBSn
ULBS,17.2.11 UART loopback select register (ULBS),Figure17-12FormatoftheUARTLoopbackSelectRegister(ULBS),,Serial Interface UARTA (UARTA),
ULBS4,17.2.11 UART loopback select register (ULBS),Figure17-12FormatoftheUARTLoopbackSelectRegister(ULBS),2,Serial Interface UARTA (UARTA),
ULBS5,17.2.11 UART loopback select register (ULBS),Figure17-12FormatoftheUARTLoopbackSelectRegister(ULBS),2,Serial Interface UARTA (UARTA),
ULBS,27.3.12 UART loopback,Figure27-23FormatofUARTLoopbackSelectRegister(ULBS)(1/2),,Safety Functions,
ULBS0,27.3.12 UART loopback,Figure27-23FormatofUARTLoopbackSelectRegister(ULBS)(1/2),2,Safety Functions,
ULBS1,27.3.12 UART loopback,Figure27-23FormatofUARTLoopbackSelectRegister(ULBS)(1/2),2,Safety Functions,
ULBS2,27.3.12 UART loopback,Figure27-23FormatofUARTLoopbackSelectRegister(ULBS)(1/2),2,Safety Functions,
ULBS3,27.3.12 UART loopback,Figure27-23FormatofUARTLoopbackSelectRegister(ULBS)(1/2),2,Safety Functions,
ULBS4,27.3.12 UART loopback,Figure27-23FormatofUARTLoopbackSelectRegister(ULBS)(1/2),2,Safety Functions,
ULBS5,27.3.12 UART loopback,Figure27-23FormatofUARTLoopbackSelectRegister(ULBS)(1/2),2,Safety Functions,
PMS,27.3.11 Detection of the digital output signal level of the I/O pins,Figure27-22FormatofPortModeSelectRegister(PMS),,,
GDIDIS,4.3.11 Global digital input disable register (GDIDIS),Figure4-11FormatofGlobalDigitalInputDisableRegister(GDIDIS),,,
DFLCTL,33.6.2.16 Data flash control register (DFLCTL),Figure33-24FormatofDataFlashControlRegister(DFLCTL),,,
DFLEN,33.6.2.16 Data flash control register (DFLCTL),Figure33-24FormatofDataFlashControlRegister(DFLCTL),2,,
HIOTRM,6.3.12 High-speed on-chip oscillator trimming register (HIOTRM),Figure6-14FormatofHigh-speedOn-chipOscillatorTrimmingRegister(HIOTRM),,,
HOCODIV,6.3.9 High-speed on-chip oscillator frequency select register (HOCODIV),Figure6-11FormatofHigh-speedOn-chipOscillatorFrequencySelectRegister(HOCODIV),,,
FLMODE,5.2.1 Flash operating mode select register (FLMODE),Figure5-2FormatofFlashOperatingModeSelectRegister(FLMODE),,,
MODE0,5.2.1 Flash operating mode select register (FLMODE),Figure5-2FormatofFlashOperatingModeSelectRegister(FLMODE),2,,MODE1
MODE1,5.2.1 Flash operating mode select register (FLMODE),Figure5-2FormatofFlashOperatingModeSelectRegister(FLMODE),2,,
FLMWRP,5.2.2 Flash operating mode protect register (FLMWRP),Figure5-3FormatofFlashOperatingModeProtectRegister(FLMWRP),,,
FLMWEN,5.2.2 Flash operating mode protect register (FLMWRP),Figure5-3FormatofFlashOperatingModeProtectRegister(FLMWRP),2,,
FLSEC,33.6.2.13 Flash security flag monitoring register (FLSEC),Figure33-21FormatofFlashSecurityFlagMonitoringRegister(FLSEC),,,
FLFSWS,33.6.2.15 Flash FSW monitoring register S (FLFSWS),Figure33-23FormatofFlashFSWMonitoringRegisterS(FLFSWS),,,
FLFSWE,33.6.2.14 Flash FSW monitoring register E (FLFSWE),Figure33-22FormatofFlashFSWMonitoringRegisterE(FLFSWE),,,
FSSET,33.6.2.8 Flash memory sequencer initial setting register (FSSET),Figure33-16FormatofFlashMemorySequencerInitialSettingRegister(FSSET),,,
FSSE,33.6.2.10 Flash extra area sequencer control register (FSSE),Figure33-18FormatofFlashExtraAreaSequencerControlRegister(FSSE),,,
ESQST,33.6.2.10 Flash extra area sequencer control register (FSSE),Figure33-18FormatofFlashExtraAreaSequencerControlRegister(FSSE),2,,
PFCMD,33.6.2.4 Flashprotectcommandregister(PFCMD),Figure33-12FormatofFlashProtectCommandRegister(PFCMD),,,
PFS,33.6.2.5 Flashstatusregister(PFS),Figure33-13FormatofFlashStatusRegister(PFS),,,
PER0,"6.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure6-7FormatofPeripheralEnableRegister0(PER0)(1/2),,Clock Generator,
TAU0EN,"6.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure6-7FormatofPeripheralEnableRegister0(PER0)(1/2),2,Clock Generator,
TAU1EN,"6.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure6-7FormatofPeripheralEnableRegister0(PER0)(1/2),2,Clock Generator,
SAU0EN,"6.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure6-7FormatofPeripheralEnableRegister0(PER0)(1/2),2,Clock Generator,
SAU1EN,"6.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure6-7FormatofPeripheralEnableRegister0(PER0)(1/2),2,Clock Generator,
IICA0EN,"6.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure6-7FormatofPeripheralEnableRegister0(PER0)(1/2),2,Clock Generator,
ADCEN,"6.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure6-7FormatofPeripheralEnableRegister0(PER0)(1/2),2,Clock Generator,
IICA1EN,"6.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure6-7FormatofPeripheralEnableRegister0(PER0)(1/2),2,Clock Generator,
RTCWEN,"6.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure6-7FormatofPeripheralEnableRegister0(PER0)(1/2),2,Clock Generator,
PER0,7.3.1 Peripheral enable register 0 (PER0),Figure7-11FormatofPeripheralEnableRegister0(PER0),,Timer Array Unit (TAU),
TAU0EN,7.3.1 Peripheral enable register 0 (PER0),Figure7-11FormatofPeripheralEnableRegister0(PER0),2,Timer Array Unit (TAU),
TAU1EN,7.3.1 Peripheral enable register 0 (PER0),Figure7-11FormatofPeripheralEnableRegister0(PER0),2,Timer Array Unit (TAU),
PER0,8.3.1 Peripheral enable register 0 (PER0),Figure8-2FormatofPeripheralEnableRegister0(PER0),,Realtime Clock (RTC),
RTCWEN,8.3.1 Peripheral enable register 0 (PER0),Figure8-2FormatofPeripheralEnableRegister0(PER0),2,Realtime Clock (RTC),
PER0,12.3.1 Peripheral enable register 0 (PER0),Figure12-2FormatofPeripheralEnableRegister0(PER0),,A/D Converter (ADC),
ADCEN,12.3.1 Peripheral enable register 0 (PER0),Figure12-2FormatofPeripheralEnableRegister0(PER0),2,A/D Converter (ADC),
PER0,15.3.1 Peripheral enable register 0 (PER0),Figure15-5FormatofPeripheralEnableRegister0(PER0),,Serial Array Unit (SAU),
SAU0EN,15.3.1 Peripheral enable register 0 (PER0),Figure15-5FormatofPeripheralEnableRegister0(PER0),1,Serial Array Unit (SAU),SAUmEN
SAU1EN,15.3.1 Peripheral enable register 0 (PER0),Figure15-5FormatofPeripheralEnableRegister0(PER0),1,Serial Array Unit (SAU),SAUmEN
PER0,16.3.1 Peripheral enable register 0 (PER0),Figure16-5FormatofPeripheralEnableRegister0(PER0),,Serial Interface IICA (IICA),
IICA0EN,16.3.1 Peripheral enable register 0 (PER0),Figure16-5FormatofPeripheralEnableRegister0(PER0),1,Serial Interface IICA (IICA),IICAnEN
IICA1EN,16.3.1 Peripheral enable register 0 (PER0),Figure16-5FormatofPeripheralEnableRegister0(PER0),1,Serial Interface IICA (IICA),IICAnEN
PRR0,7.3.2 Peripheral reset control register 0 (PRR0),Figure7-12FormatofPeripheralResetControlRegister0(PRR0),,Timer Array Unit (TAU),
TAU0RES,7.3.2 Peripheral reset control register 0 (PRR0),Figure7-12FormatofPeripheralResetControlRegister0(PRR0),2,Timer Array Unit (TAU),
TAU1RES,7.3.2 Peripheral reset control register 0 (PRR0),Figure7-12FormatofPeripheralResetControlRegister0(PRR0),2,Timer Array Unit (TAU),
PRR0,12.3.2 Peripheral reset control register 0 (PRR0),Figure12-3FormatofPeripheralResetControlRegister0(PRR0),,A/D Converter (ADC),
ADCRES,12.3.2 Peripheral reset control register 0 (PRR0),Figure12-3FormatofPeripheralResetControlRegister0(PRR0),2,A/D Converter (ADC),
PRR0,15.3.2 Peripheral reset control register 0 (PRR0),Figure15-6FormatofPeripheralResetControlRegister0(PRR0),,Serial Array Unit (SAU),
SAU0RES,15.3.2 Peripheral reset control register 0 (PRR0),Figure15-6FormatofPeripheralResetControlRegister0(PRR0),1,Serial Array Unit (SAU),SAUmRES
SAU1RES,15.3.2 Peripheral reset control register 0 (PRR0),Figure15-6FormatofPeripheralResetControlRegister0(PRR0),1,Serial Array Unit (SAU),SAUmRES
PRR0,16.3.2 Peripheral reset control register 0 (PRR0),Figure16-6FormatofPeripheralResetControlRegister0(PRR0),,Serial Interface IICA (IICA),
IICA0RES,16.3.2 Peripheral reset control register 0 (PRR0),Figure16-6FormatofPeripheralResetControlRegister0(PRR0),1,Serial Interface IICA (IICA),IICAnRES
IICA1RES,16.3.2 Peripheral reset control register 0 (PRR0),Figure16-6FormatofPeripheralResetControlRegister0(PRR0),1,Serial Interface IICA (IICA),IICAnRES
PRR0,24.2.3 Peripheral reset control register 0 (PRR0),Figure24-7FormatofPeripheralResetControlRegister0(PRR0),,Reset Function,
TAU0RES,24.2.3 Peripheral reset control register 0 (PRR0),Figure24-7FormatofPeripheralResetControlRegister0(PRR0),1,Reset Function,TAUnRES
TAU1RES,24.2.3 Peripheral reset control register 0 (PRR0),Figure24-7FormatofPeripheralResetControlRegister0(PRR0),1,Reset Function,TAUnRES
SAU0RES,24.2.3 Peripheral reset control register 0 (PRR0),Figure24-7FormatofPeripheralResetControlRegister0(PRR0),1,Reset Function,SAUnRES
SAU1RES,24.2.3 Peripheral reset control register 0 (PRR0),Figure24-7FormatofPeripheralResetControlRegister0(PRR0),1,Reset Function,SAUnRES
IICA0RES,24.2.3 Peripheral reset control register 0 (PRR0),Figure24-7FormatofPeripheralResetControlRegister0(PRR0),1,Reset Function,IICAnRES
ADCRES,24.2.3 Peripheral reset control register 0 (PRR0),Figure24-7FormatofPeripheralResetControlRegister0(PRR0),2,Reset Function,
IICA1RES,24.2.3 Peripheral reset control register 0 (PRR0),Figure24-7FormatofPeripheralResetControlRegister0(PRR0),1,Reset Function,IICAnRES
MOCODIV,6.3.10 Middle-speed on-chip oscillator frequency select register (MOCODIV),Figure6-12FormatofMiddle-speedOn-chipOscillatorFrequencySelectRegister(MOCODIV),,,
OSMC,6.3.7 Subsystem clock supply mode control register (OSMC),Figure6-9FormatofSubsystemClockSupplyModeControlRegister(OSMC),,Clock Generator,
HIPREC,6.3.7 Subsystem clock supply mode control register (OSMC),Figure6-9FormatofSubsystemClockSupplyModeControlRegister(OSMC),2,Clock Generator,
WUTMMCK0,6.3.7 Subsystem clock supply mode control register (OSMC),Figure6-9FormatofSubsystemClockSupplyModeControlRegister(OSMC),2,Clock Generator,WUTMMC
RTCLPC,6.3.7 Subsystem clock supply mode control register (OSMC),Figure6-9FormatofSubsystemClockSupplyModeControlRegister(OSMC),2,Clock Generator,
OSMC,8.3.2 Subsystem clock supply mode control register (OSMC),Figure8-3FormatofSubsystemClockSupplyModeControlRegister(OSMC),,Realtime Clock (RTC),
WUTMMCK0,8.3.2 Subsystem clock supply mode control register (OSMC),Figure8-3FormatofSubsystemClockSupplyModeControlRegister(OSMC),2,Realtime Clock (RTC),WUTMMC
RPECTL,27.3.4 RAM parity error detection,Figure27-10FormatofRAMParityErrorControlRegister(RPECTL),,,
RPEF,27.3.4 RAM parity error detection,Figure27-10FormatofRAMParityErrorControlRegister(RPECTL),2,,
RPERDIS,27.3.4 RAM parity error detection,Figure27-10FormatofRAMParityErrorControlRegister(RPECTL),2,,
PORSR,24.2.2 Power-on-reset status register (PORSR),Figure24-6FormatofPower-on-ResetStatusRegister(PORSR),,,
PORF,24.2.2 Power-on-reset status register (PORSR),Figure24-6FormatofPower-on-ResetStatusRegister(PORSR),2,,
PER1,"6.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure6-8FormatofPeripheralEnableRegister1(PER1)(1/2),,Clock Generator,
CTSUEN,"6.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure6-8FormatofPeripheralEnableRegister1(PER1)(1/2),2,Clock Generator,
REMCEN,"6.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure6-8FormatofPeripheralEnableRegister1(PER1)(1/2),2,Clock Generator,
UTAEN,"6.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure6-8FormatofPeripheralEnableRegister1(PER1)(1/2),2,Clock Generator,
DTCEN,"6.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure6-8FormatofPeripheralEnableRegister1(PER1)(1/2),2,Clock Generator,
TML32EN,"6.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure6-8FormatofPeripheralEnableRegister1(PER1)(1/2),2,Clock Generator,
CMPEN,"6.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure6-8FormatofPeripheralEnableRegister1(PER1)(1/2),2,Clock Generator,
SMSEN,"6.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure6-8FormatofPeripheralEnableRegister1(PER1)(1/2),2,Clock Generator,
DACEN,"6.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure6-8FormatofPeripheralEnableRegister1(PER1)(1/2),2,Clock Generator,
PER1,9.2.1 Peripheral enable register 1 (PER1),Figure9-2FormatofPeripheralEnableRegister1(PER1),,32-bit Interval Timer (TML32),
TML32EN,9.2.1 Peripheral enable register 1 (PER1),Figure9-2FormatofPeripheralEnableRegister1(PER1),2,32-bit Interval Timer (TML32),
PER1,13.3.1 Peripheral enable register 1 (PER1),Figure13-2FormatofPeripheralEnableRegister1(PER1),,D/A Converter (DAC),
DACEN,13.3.1 Peripheral enable register 1 (PER1),Figure13-2FormatofPeripheralEnableRegister1(PER1),2,D/A Converter (DAC),
PER1,14.3.1 Peripheral enable register 1 (PER1),Figure14-2FormatofPeripheralEnableRegister1(PER1),,Comparator (CMP),
CMPEN,14.3.1 Peripheral enable register 1 (PER1),Figure14-2FormatofPeripheralEnableRegister1(PER1),2,Comparator (CMP),
PER1,17.2.1 Peripheral enable register 1 (PER1),Figure17-2FormatofPeripheralEnableRegister1(PER1),,Serial Interface UARTA (UARTA),
UTAEN,17.2.1 Peripheral enable register 1 (PER1),Figure17-2FormatofPeripheralEnableRegister1(PER1),2,Serial Interface UARTA (UARTA),
PER1,18.2.1 Peripheral enable register 1 (PER1),Figure18-2FormatofPeripheralEnableRegister1(PER1),,Remote Control Signal Receiver (REMC),
REMCEN,18.2.1 Peripheral enable register 1 (PER1),Figure18-2FormatofPeripheralEnableRegister1(PER1),2,Remote Control Signal Receiver (REMC),
PER1,19.3.4 Peripheral enable register 1 (PER1),Figure19-5FormatofPeripheralEnableRegister1(PER1),,Data Transfer Controller (DTC),
DTCEN,19.3.4 Peripheral enable register 1 (PER1),Figure19-5FormatofPeripheralEnableRegister1(PER1),2,Data Transfer Controller (DTC),
PER1,29.3.1 Peripheral enable register 1 (PER1),Figure29-2FormatofPeripheralEnableRegister1(PER1),,SNOOZE Mode Sequencer (SMS),
SMSEN,29.3.1 Peripheral enable register 1 (PER1),Figure29-2FormatofPeripheralEnableRegister1(PER1),2,SNOOZE Mode Sequencer (SMS),
PER1,30.2.1 Peripheral enable register 1 (PER1),Figure30-5FormatofPeripheralEnableRegister1(PER1),,Capacitive Sensing Unit (CTSU2L),
CTSUEN,30.2.1 Peripheral enable register 1 (PER1),Figure30-5FormatofPeripheralEnableRegister1(PER1),2,Capacitive Sensing Unit (CTSU2L),
PRR1,9.2.2 Peripheral reset control register 1 (PRR1),Figure9-3FormatofPeripheralResetControlRegister1(PRR1),,32-bit Interval Timer (TML32),
TML32RES,9.2.2 Peripheral reset control register 1 (PRR1),Figure9-3FormatofPeripheralResetControlRegister1(PRR1),2,32-bit Interval Timer (TML32),
PRR1,13.3.2 Peripheral reset control register 1 (PRR1),Figure13-3FormatofPeripheralResetControlRegister1(PRR1),,D/A Converter (DAC),
DACRES,13.3.2 Peripheral reset control register 1 (PRR1),Figure13-3FormatofPeripheralResetControlRegister1(PRR1),2,D/A Converter (DAC),
PRR1,14.3.2 Peripheral reset control register 1 (PRR1),Figure14-3FormatofPeripheralResetControlRegister1(PRR1),,Comparator (CMP),
CMPRES,14.3.2 Peripheral reset control register 1 (PRR1),Figure14-3FormatofPeripheralResetControlRegister1(PRR1),2,Comparator (CMP),
PRR1,18.2.2 Peripheral reset control register 1 (PRR1),Figure18-3FormatofPeripheralResetControlRegister1(PRR1),,Remote Control Signal Receiver (REMC),
REMCRES,18.2.2 Peripheral reset control register 1 (PRR1),Figure18-3FormatofPeripheralResetControlRegister1(PRR1),2,Remote Control Signal Receiver (REMC),
PRR1,24.2.4 Peripheral reset control register 1 (PRR1),Figure24-8FormatofPeripheralResetControlRegister1(PRR1),,Reset Function,
CTSURES,24.2.4 Peripheral reset control register 1 (PRR1),Figure24-8FormatofPeripheralResetControlRegister1(PRR1),2,Reset Function,
REMCRES,24.2.4 Peripheral reset control register 1 (PRR1),Figure24-8FormatofPeripheralResetControlRegister1(PRR1),2,Reset Function,
TML32RES,24.2.4 Peripheral reset control register 1 (PRR1),Figure24-8FormatofPeripheralResetControlRegister1(PRR1),2,Reset Function,
CMPRES,24.2.4 Peripheral reset control register 1 (PRR1),Figure24-8FormatofPeripheralResetControlRegister1(PRR1),2,Reset Function,
SMSRES,24.2.4 Peripheral reset control register 1 (PRR1),Figure24-8FormatofPeripheralResetControlRegister1(PRR1),2,Reset Function,
DACRES,24.2.4 Peripheral reset control register 1 (PRR1),Figure24-8FormatofPeripheralResetControlRegister1(PRR1),2,Reset Function,
PRR1,29.3.2 Peripheral reset control register 1 (PRR1),Figure29-3FormatofPeripheralResetControlRegister1(PRR1),,SNOOZE Mode Sequencer (SMS),
SMSRES,29.3.2 Peripheral reset control register 1 (PRR1),Figure29-3FormatofPeripheralResetControlRegister1(PRR1),2,SNOOZE Mode Sequencer (SMS),
PRR1,30.2.2 Peripheral reset control register 1 (PRR1),Figure30-6FormatofPeripheralResetControlRegister1(PRR1),,Capacitive Sensing Unit (CTSU2L),
CTSURES,30.2.2 Peripheral reset control register 1 (PRR1),Figure30-6FormatofPeripheralResetControlRegister1(PRR1),2,Capacitive Sensing Unit (CTSU2L),
